"ID";"od";"dd";"size";"price";"a6";"a7";"a8";"a9";"tax"
443050;"2013-03-12";"2013-03-13";"L";69.9;4;"1973-06-27";10;1;13.28
452957;"2013-03-18";"2013-03-19";"m";21.9;4;"1968-06-02";9;1;4.16
139563;"2012-07-21";"2012-07-23";"xl";59.9;4;"1969-05-20";3;0;11.38
407259;"2013-02-27";"2013-05-01";"l";21.9;4;"1967-05-10";11;1;4.16
326581;"2013-01-09";"1990-12-31";"M";29.9;4;"1971-03-10";10;0;5.68
264483;"2012-10-25";"2012-10-26";"xxl";29.9;4;"1961-01-22";8;1;5.68
365836;"2013-01-26";"2013-01-29";"L";39.9;4;"1969-12-15";1;1;7.58
64262;"2012-05-22";"2012-05-23";"xxl";14.9;4;"1964-02-02";2;0;2.83
332617;"2013-01-11";"2013-01-14";"m";69.9;4;"1965-11-08";8;1;13.28
352273;"2013-01-18";"2013-04-15";"XXL";99.9;4;"1968-01-04";7;1;18.98
230885;"2012-09-27";"2012-11-01";"xxl";39.9;4;"1969-03-24";10;1;7.58
358301;"2013-01-21";"2013-04-16";"S";89.9;4;"1958-03-28";1;1;17.08
451787;"2013-03-16";"2013-03-19";"l";69.9;4;"1970-06-02";10;0;13.28
124744;"2012-07-02";"2012-07-04";"xxl";14.9;4;"1966-07-24";10;1;2.83
233333;"2012-09-30";"2012-10-22";"m";39.9;4;"?";13;0;7.58
454215;"2013-03-17";"2013-06-05";"M";59.9;4;"1962-11-16";1;1;11.38
471317;"2013-03-26";"?";"XL";26.9;4;"1966-01-14";2;0;5.11
56619;"2012-05-17";"2012-05-18";"xxl";49.9;4;"1976-09-03";1;0;9.48
240107;"2012-10-06";"2012-12-10";"m";29.9;4;"?";1;0;5.68
287235;"2012-11-24";"2012-11-26";"L";39.9;4;"1965-03-14";1;1;7.58
438340;"2013-03-10";"2013-03-12";"XL";59.9;4;"1956-01-16";8;0;11.38
65981;"2012-05-23";"2012-06-26";"l";39.9;4;"1957-02-19";2;0;7.58
476082;"2013-03-28";"?";"L";44.9;4;"?";8;0;8.53
457133;"2013-03-18";"2013-04-09";"L";29.9;4;"?";8;0;5.68
40413;"2012-05-02";"2012-05-04";"m";69.9;4;"1958-10-01";1;0;13.28
261747;"2012-10-23";"2012-10-24";"xl";26.9;4;"1968-01-03";3;0;5.11
194770;"2012-09-06";"2012-09-07";"xxl";26.9;4;"1964-04-21";1;1;5.11
